English	en-us
French	fr-fr
Italian	it-it
German	de-de
Spanish	es-es
Russian	ru-ru
Chinese Simplified	zh-cn
Chinese Traditional	zh-tw
Japanese	ja-jp
Korean	ko-kr
Czech	cs-CZ
Portuguese (Brazil)	pt-br
Turkish	tr-tr
Polish	pl-pl
Pseudo	qps-ploc
